request_id,date,hospital,region,blood_type,units_requested,urgency,reason,fulfilled,response_time_min,donors_matched
REQ-2025-01339,2025-09-16,CHU Ibn Rochd,Casablanca-Settat,O+,6,medium,Accident Emergency,1,29,11
REQ-2024-01340,2024-09-14,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,A+,4,medium,Emergency Surgery,1,8,4
REQ-2026-01341,2026-01-29,CHU Ibn Rochd,Casablanca-Settat,A+,4,medium,Scheduled Transfusion,1,46,7
REQ-2024-01342,2024-11-14,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,A+,6,high,Scheduled Transfusion,1,29,8
REQ-2023-01343,2023-11-21,CHU Hassan II,Fès-Meknès,B+,5,low,Post-Operative Care,0,,0
REQ-2024-01344,2024-05-02,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,A+,3,low,Emergency Surgery,0,,0
REQ-2024-01345,2024-11-07,Hôpital Régional Oujda,Oriental,O+,4,medium,Maternal Care,1,48,5
REQ-2023-01346,2023-02-28,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,O+,5,high,Scheduled Transfusion,1,19,10
REQ-2025-01347,2025-04-30,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,O+,7,critical,Scheduled Transfusion,1,43,9
REQ-2023-01348,2023-05-24,CHU Souss Massa,Souss-Massa,O+,2,high,Burn Treatment,1,13,3
REQ-2024-01349,2024-12-19,CHU Mohammed VI,Marrakech-Safi,O+,4,high,Organ Transplant,1,23,4
REQ-2023-01350,2023-10-19,CHU Hassan II,Fès-Meknès,A+,3,low,Emergency Surgery,0,,0
REQ-2025-01351,2025-06-02,CHU Souss Massa,Souss-Massa,O+,5,medium,Burn Treatment,1,20,12
REQ-2023-01352,2023-09-24,CHU Souss Massa,Souss-Massa,B+,3,high,Post-Operative Care,1,9,4
REQ-2024-01353,2024-10-24,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,B+,6,medium,Emergency Surgery,1,53,3
REQ-2025-01354,2025-09-30,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,O+,1,high,Burn Treatment,1,20,3
REQ-2023-01355,2023-05-11,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,O+,1,high,Pediatric Care,1,8,6
REQ-2024-01356,2024-11-09,CHU Souss Massa,Souss-Massa,B+,6,low,Maternal Care,1,55,1
REQ-2024-01357,2024-08-11,CHU Hassan II,Fès-Meknès,AB+,3,high,Post-Operative Care,1,40,7
REQ-2023-01358,2023-11-28,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,O+,6,high,Maternal Care,1,11,3
REQ-2024-01359,2024-01-23,CHU Ibn Sina,Rabat-Salé-Kénitra,O+,6,high,Scheduled Transfusion,1,46,6
REQ-2023-01360,2023-06-20,CHU Hassan II,Fès-Meknès,AB+,4,high,Accident Emergency,1,10,10
REQ-2023-01361,2023-10-04,CHU Ibn Sina,Rabat-Salé-Kénitra,O+,4,high,Emergency Surgery,1,49,8
REQ-2024-01362,2024-02-14,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,A+,3,critical,Accident Emergency,1,29,8
REQ-2025-01363,2025-03-16,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,O+,2,high,Burn Treatment,0,,0
REQ-2023-01364,2023-08-23,CHU Mohammed VI,Marrakech-Safi,O+,5,low,Organ Transplant,1,55,7
REQ-2024-01365,2024-02-13,CHU Souss Massa,Souss-Massa,O+,7,critical,Chronic Disease Treatment,1,15,4
REQ-2023-01366,2023-06-15,CHU Hassan II,Fès-Meknès,O+,3,high,Chronic Disease Treatment,1,32,11
REQ-2025-01367,2025-02-25,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,B-,3,high,Maternal Care,1,18,7
REQ-2024-01368,2024-10-11,CHU Mohammed VI,Marrakech-Safi,O+,1,low,Organ Transplant,1,41,3
REQ-2023-01369,2023-04-25,CHU Mohammed VI,Marrakech-Safi,B+,5,medium,Scheduled Transfusion,1,33,2
REQ-2025-01370,2025-08-18,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,AB+,4,high,Pediatric Care,1,26,12
REQ-2023-01371,2023-04-04,CHU Ibn Rochd,Casablanca-Settat,A+,1,medium,Chronic Disease Treatment,0,,0
REQ-2023-01372,2023-01-23,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,A+,6,high,Accident Emergency,1,58,7
REQ-2025-01373,2025-01-23,Hôpital Régional Oujda,Oriental,B+,5,high,Chronic Disease Treatment,1,39,12
REQ-2023-01374,2023-01-24,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,B+,3,high,Burn Treatment,1,4,11
REQ-2023-01375,2023-11-22,CHU Souss Massa,Souss-Massa,O+,5,high,Pediatric Care,1,36,1
REQ-2025-01376,2025-03-02,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,A+,1,medium,Emergency Surgery,1,31,12
REQ-2025-01377,2025-01-06,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,A+,4,medium,Post-Operative Care,0,,0
REQ-2025-01378,2025-07-05,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,A+,1,medium,Scheduled Transfusion,1,24,4
REQ-2024-01379,2024-01-22,CHU Ibn Rochd,Casablanca-Settat,A+,2,critical,Organ Transplant,1,10,4
REQ-2023-01380,2023-02-09,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,O+,6,critical,Scheduled Transfusion,1,57,4
REQ-2025-01381,2025-02-15,CHU Ibn Sina,Rabat-Salé-Kénitra,B-,2,medium,Pediatric Care,1,47,10
REQ-2024-01382,2024-06-17,CHU Souss Massa,Souss-Massa,A+,2,low,Scheduled Transfusion,1,27,6
REQ-2026-01383,2026-02-22,CHU Ibn Sina,Rabat-Salé-Kénitra,A+,4,medium,Burn Treatment,0,,0
REQ-2024-01384,2024-07-27,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,AB+,2,critical,Emergency Surgery,1,42,11
REQ-2024-01385,2024-10-26,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,AB-,1,high,Post-Operative Care,1,36,4
REQ-2025-01386,2025-12-17,CHU Ibn Sina,Rabat-Salé-Kénitra,O+,5,low,Chronic Disease Treatment,1,37,11
REQ-2024-01387,2024-01-29,Hôpital Régional Oujda,Oriental,O+,4,high,Emergency Surgery,1,42,3
REQ-2026-01388,2026-02-10,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,O+,2,medium,Maternal Care,0,,0
REQ-2025-01389,2025-04-28,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,A+,2,critical,Chronic Disease Treatment,1,48,11
REQ-2025-01390,2025-03-10,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,A+,6,medium,Maternal Care,1,32,5
REQ-2024-01391,2024-06-10,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,A+,3,medium,Chronic Disease Treatment,1,58,5
REQ-2024-01392,2024-09-30,CHU Ibn Rochd,Casablanca-Settat,B+,10,critical,Post-Operative Care,1,48,9
REQ-2025-01393,2025-08-22,CHU Hassan II,Fès-Meknès,A+,1,high,Pediatric Care,1,16,5
REQ-2024-01394,2024-07-29,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,O+,1,critical,Maternal Care,1,56,2
REQ-2023-01395,2023-10-12,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,A+,6,critical,Burn Treatment,1,24,6
REQ-2024-01396,2024-10-21,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,A+,2,high,Pediatric Care,1,20,9
REQ-2024-01397,2024-03-30,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,AB+,4,high,Accident Emergency,0,,0
REQ-2024-01398,2024-10-31,CHU Souss Massa,Souss-Massa,B+,3,high,Post-Operative Care,0,,0
REQ-2023-01399,2023-11-27,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,O-,1,medium,Post-Operative Care,1,40,5
REQ-2024-01400,2024-10-19,CHU Ibn Sina,Rabat-Salé-Kénitra,A+,6,high,Maternal Care,0,,0
REQ-2023-01401,2023-12-19,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,O+,5,medium,Chronic Disease Treatment,1,39,10
REQ-2024-01402,2024-07-21,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,O+,2,medium,Emergency Surgery,1,39,2
REQ-2023-01403,2023-05-24,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,B+,1,low,Chronic Disease Treatment,1,50,1
REQ-2024-01404,2024-10-02,CHU Hassan II,Fès-Meknès,O+,3,high,Chronic Disease Treatment,1,30,6
REQ-2025-01405,2025-08-15,CHU Hassan II,Fès-Meknès,O+,6,medium,Scheduled Transfusion,1,34,2
REQ-2024-01406,2024-04-11,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,A+,1,medium,Accident Emergency,1,36,3
REQ-2023-01407,2023-03-27,CHU Ibn Sina,Rabat-Salé-Kénitra,A+,1,low,Accident Emergency,1,55,11
REQ-2023-01408,2023-05-21,CHU Ibn Sina,Rabat-Salé-Kénitra,A+,7,critical,Chronic Disease Treatment,1,52,11
REQ-2024-01409,2024-09-19,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,A+,4,critical,Organ Transplant,1,30,3
REQ-2025-01410,2025-08-08,CHU Ibn Rochd,Casablanca-Settat,B+,10,critical,Organ Transplant,1,18,3
REQ-2023-01411,2023-11-29,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,B+,6,low,Burn Treatment,1,35,1
REQ-2025-01412,2025-05-09,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,O+,6,medium,Pediatric Care,1,15,3
REQ-2024-01413,2024-10-08,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,AB+,2,low,Post-Operative Care,1,29,4
REQ-2023-01414,2023-10-18,CHU Hassan II,Fès-Meknès,O+,5,high,Burn Treatment,1,47,1
REQ-2023-01415,2023-04-04,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,B+,6,medium,Organ Transplant,1,35,3
REQ-2025-01416,2025-04-20,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,A+,2,critical,Maternal Care,1,17,3
REQ-2024-01417,2024-10-28,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,A+,4,medium,Pediatric Care,0,,0
REQ-2025-01418,2025-10-08,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,B+,2,low,Emergency Surgery,1,48,2
REQ-2025-01419,2025-05-27,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,A+,3,high,Post-Operative Care,1,56,1
REQ-2023-01420,2023-02-28,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,O+,4,low,Scheduled Transfusion,1,9,12
REQ-2023-01421,2023-11-22,Hôpital Régional Oujda,Oriental,O+,8,critical,Burn Treatment,1,51,5
REQ-2023-01422,2023-02-21,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,A+,4,medium,Pediatric Care,1,52,9
REQ-2024-01423,2024-07-06,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,A+,1,high,Burn Treatment,0,,0
REQ-2023-01424,2023-11-06,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,A+,2,medium,Post-Operative Care,1,42,10
REQ-2025-01425,2025-09-08,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,B+,10,critical,Emergency Surgery,1,36,9
REQ-2024-01426,2024-03-01,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,O+,2,medium,Scheduled Transfusion,1,29,10
REQ-2024-01427,2024-02-23,CHU Mohammed VI,Marrakech-Safi,B+,4,medium,Organ Transplant,1,27,1
REQ-2024-01428,2024-11-17,Hôpital Régional Oujda,Oriental,O+,5,low,Burn Treatment,1,39,12
REQ-2023-01429,2023-05-19,Hôpital Régional Oujda,Oriental,B+,1,high,Accident Emergency,1,4,5
REQ-2024-01430,2024-08-06,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,AB+,6,low,Burn Treatment,1,12,5
REQ-2023-01431,2023-07-15,CHU Mohammed VI,Marrakech-Safi,A+,4,medium,Organ Transplant,1,29,5
REQ-2023-01432,2023-03-14,Hôpital Régional Oujda,Oriental,A+,6,medium,Emergency Surgery,1,10,4
REQ-2025-01433,2025-03-03,CHU Ibn Sina,Rabat-Salé-Kénitra,O+,1,medium,Scheduled Transfusion,1,7,12
REQ-2024-01434,2024-10-19,CHU Ibn Rochd,Casablanca-Settat,O+,5,medium,Chronic Disease Treatment,1,38,6
REQ-2024-01435,2024-11-16,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,A+,3,high,Accident Emergency,1,4,10
REQ-2024-01436,2024-01-18,CHU Ibn Rochd,Casablanca-Settat,O+,5,low,Organ Transplant,1,9,10
REQ-2024-01437,2024-06-22,CHU Hassan II,Fès-Meknès,A+,3,high,Chronic Disease Treatment,1,21,4
REQ-2024-01438,2024-01-25,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,O+,1,low,Pediatric Care,1,49,9
REQ-2023-01439,2023-06-20,CHU Ibn Rochd,Casablanca-Settat,O+,1,high,Scheduled Transfusion,1,8,11
REQ-2023-01440,2023-09-10,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,O+,5,critical,Organ Transplant,1,28,3
REQ-2024-01441,2024-01-20,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,B+,4,high,Chronic Disease Treatment,1,17,2
REQ-2023-01442,2023-09-15,CHU Ibn Rochd,Casablanca-Settat,O+,4,high,Chronic Disease Treatment,1,46,6
REQ-2023-01443,2023-04-20,CHU Ibn Sina,Rabat-Salé-Kénitra,B-,1,low,Scheduled Transfusion,0,,0
REQ-2025-01444,2025-11-01,Hôpital Régional Oujda,Oriental,O-,4,low,Pediatric Care,1,50,2
REQ-2025-01445,2025-03-09,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,A-,2,low,Emergency Surgery,1,16,12
REQ-2025-01446,2025-01-04,CHU Mohammed VI,Marrakech-Safi,B+,2,critical,Scheduled Transfusion,0,,0
REQ-2025-01447,2025-05-04,CHU Hassan II,Fès-Meknès,B+,6,medium,Post-Operative Care,1,4,2
REQ-2025-01448,2025-04-02,Hôpital Régional Oujda,Oriental,O-,6,medium,Organ Transplant,1,26,6
REQ-2023-01449,2023-01-25,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,O+,2,critical,Chronic Disease Treatment,1,27,8
REQ-2023-01450,2023-10-23,CHU Hassan II,Fès-Meknès,O+,3,high,Maternal Care,1,54,7
REQ-2023-01451,2023-02-16,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,O+,2,low,Burn Treatment,1,6,10
REQ-2024-01452,2024-11-09,CHU Mohammed VI,Marrakech-Safi,B+,1,high,Organ Transplant,1,36,1
REQ-2023-01453,2023-11-01,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,O+,6,high,Maternal Care,1,27,7
REQ-2026-01454,2026-01-10,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,A-,2,high,Chronic Disease Treatment,1,16,7
REQ-2025-01455,2025-11-24,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,A-,4,high,Scheduled Transfusion,0,,0
REQ-2025-01456,2025-09-16,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,B+,9,critical,Pediatric Care,1,46,4
REQ-2024-01457,2024-11-29,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,B+,3,critical,Organ Transplant,1,4,7
REQ-2026-01458,2026-02-01,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,A+,6,medium,Accident Emergency,1,26,2
REQ-2025-01459,2025-11-20,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,O-,5,medium,Emergency Surgery,1,36,8
REQ-2025-01460,2025-10-16,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,O+,8,critical,Accident Emergency,1,33,8
REQ-2023-01461,2023-08-14,CHU Hassan II,Fès-Meknès,O+,1,high,Maternal Care,1,47,8
REQ-2023-01462,2023-07-06,CHU Hassan II,Fès-Meknès,B-,2,low,Chronic Disease Treatment,1,7,5
REQ-2023-01463,2023-01-19,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,B+,1,low,Chronic Disease Treatment,0,,0
REQ-2024-01464,2024-09-23,CHU Ibn Rochd,Casablanca-Settat,O+,5,high,Accident Emergency,1,53,2
REQ-2023-01465,2023-12-27,CHU Hassan II,Fès-Meknès,A+,3,medium,Accident Emergency,1,53,1
REQ-2024-01466,2024-03-09,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,A+,5,low,Burn Treatment,1,35,10
REQ-2024-01467,2024-10-03,CHU Ibn Rochd,Casablanca-Settat,B+,7,critical,Chronic Disease Treatment,0,,0
REQ-2023-01468,2023-05-14,CHU Hassan II,Fès-Meknès,O+,6,high,Organ Transplant,1,23,11
REQ-2023-01469,2023-06-02,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,A+,3,critical,Pediatric Care,1,33,11
REQ-2025-01470,2025-12-08,Hôpital Régional Oujda,Oriental,O+,10,critical,Maternal Care,1,20,7
REQ-2025-01471,2025-01-19,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,A+,10,critical,Post-Operative Care,1,5,6
REQ-2023-01472,2023-07-14,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,AB-,3,medium,Post-Operative Care,1,4,10
REQ-2024-01473,2024-04-10,CHU Souss Massa,Souss-Massa,AB-,3,low,Post-Operative Care,0,,0
REQ-2025-01474,2025-10-20,CHU Ibn Sina,Rabat-Salé-Kénitra,A+,4,high,Chronic Disease Treatment,1,15,2
REQ-2025-01475,2025-01-08,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,O+,1,medium,Maternal Care,1,16,9
REQ-2026-01476,2026-02-24,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,A+,6,medium,Emergency Surgery,1,47,3
REQ-2025-01477,2025-01-22,CHU Mohammed VI,Marrakech-Safi,B+,5,medium,Post-Operative Care,1,29,5
REQ-2026-01478,2026-02-16,CHU Ibn Sina,Rabat-Salé-Kénitra,O-,4,low,Burn Treatment,1,7,3
REQ-2025-01479,2025-08-09,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,A+,2,high,Organ Transplant,1,15,1
REQ-2023-01480,2023-11-16,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,O-,4,low,Emergency Surgery,1,19,11
REQ-2025-01481,2025-05-23,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,O+,5,low,Chronic Disease Treatment,1,47,3
REQ-2023-01482,2023-03-06,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,O+,5,medium,Burn Treatment,1,7,7
REQ-2024-01483,2024-04-03,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,O+,1,high,Pediatric Care,1,27,1
REQ-2023-01484,2023-09-28,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,A+,5,medium,Burn Treatment,1,56,4
REQ-2025-01485,2025-02-19,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,A-,3,medium,Accident Emergency,1,45,12
REQ-2024-01486,2024-04-14,CHU Hassan II,Fès-Meknès,O-,2,medium,Pediatric Care,1,23,10
REQ-2025-01487,2025-07-16,CHU Mohammed VI,Marrakech-Safi,A+,5,critical,Emergency Surgery,1,46,11
REQ-2025-01488,2025-10-25,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,AB+,3,medium,Pediatric Care,1,30,10
REQ-2024-01489,2024-11-22,CHU Mohammed VI,Marrakech-Safi,A+,5,low,Emergency Surgery,1,48,3
REQ-2024-01490,2024-09-16,CHU Mohammed VI,Marrakech-Safi,A+,5,high,Organ Transplant,1,59,4
REQ-2023-01491,2023-04-04,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,B+,6,critical,Post-Operative Care,1,13,3
REQ-2023-01492,2023-01-04,CHU Ibn Sina,Rabat-Salé-Kénitra,A+,6,low,Accident Emergency,1,20,11
REQ-2025-01493,2025-01-13,CHU Hassan II,Fès-Meknès,A+,6,medium,Pediatric Care,1,53,10
REQ-2023-01494,2023-02-15,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,O+,10,critical,Burn Treatment,1,29,9
REQ-2023-01495,2023-12-18,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,O+,9,critical,Maternal Care,1,53,6
REQ-2024-01496,2024-02-03,CHU Ibn Rochd,Casablanca-Settat,O+,3,low,Chronic Disease Treatment,1,27,1
REQ-2025-01497,2025-06-03,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,O+,1,medium,Post-Operative Care,1,10,6
REQ-2025-01498,2025-12-05,CHU Hassan II,Fès-Meknès,B+,6,low,Scheduled Transfusion,1,31,7
REQ-2023-01499,2023-11-26,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,O+,1,high,Pediatric Care,1,13,8
REQ-2026-01500,2026-01-31,CHU Mohammed VI,Marrakech-Safi,O+,6,high,Organ Transplant,0,,0
REQ-2023-01501,2023-05-11,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,AB+,3,high,Accident Emergency,1,51,4
REQ-2025-01502,2025-08-09,CHU Hassan II,Fès-Meknès,B+,1,high,Burn Treatment,1,44,8
REQ-2024-01503,2024-02-09,CHU Souss Massa,Souss-Massa,O+,1,medium,Post-Operative Care,1,21,6
REQ-2023-01504,2023-10-10,CHU Hassan II,Fès-Meknès,A+,9,critical,Accident Emergency,1,43,7
REQ-2023-01505,2023-09-22,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,B+,1,high,Chronic Disease Treatment,0,,0
REQ-2023-01506,2023-09-01,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,A+,3,low,Burn Treatment,1,58,8
REQ-2025-01507,2025-06-25,CHU Hassan II,Fès-Meknès,O+,1,low,Organ Transplant,1,36,12
REQ-2024-01508,2024-03-03,CHU Ibn Rochd,Casablanca-Settat,A-,1,high,Post-Operative Care,0,,0
REQ-2023-01509,2023-08-07,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,O+,3,low,Chronic Disease Treatment,1,57,12
REQ-2023-01510,2023-01-09,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,O+,6,low,Scheduled Transfusion,1,45,8
REQ-2024-01511,2024-05-26,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,B+,2,low,Scheduled Transfusion,1,17,8
REQ-2023-01512,2023-08-12,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,O+,3,low,Burn Treatment,1,42,1
REQ-2024-01513,2024-12-29,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,A+,7,critical,Burn Treatment,1,5,8
REQ-2025-01514,2025-09-29,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,A+,6,high,Scheduled Transfusion,1,56,1
REQ-2024-01515,2024-01-30,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,AB+,10,critical,Accident Emergency,1,47,4
REQ-2026-01516,2026-01-02,CHU Hassan II,Fès-Meknès,O+,3,low,Burn Treatment,1,51,4
REQ-2025-01517,2025-02-07,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,B+,1,high,Scheduled Transfusion,1,40,2
REQ-2025-01518,2025-04-14,Hôpital Régional Oujda,Oriental,B+,4,medium,Post-Operative Care,1,28,3
REQ-2025-01519,2025-01-06,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,A+,4,medium,Chronic Disease Treatment,1,4,9
REQ-2025-01520,2025-12-09,CHU Souss Massa,Souss-Massa,B+,4,medium,Burn Treatment,1,42,11
REQ-2023-01521,2023-02-09,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,AB-,1,low,Scheduled Transfusion,1,19,3
REQ-2025-01522,2025-07-10,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,A+,4,medium,Post-Operative Care,1,30,2
REQ-2025-01523,2025-11-12,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,B+,6,medium,Emergency Surgery,0,,0
REQ-2025-01524,2025-05-14,CHU Ibn Sina,Rabat-Salé-Kénitra,A+,2,low,Post-Operative Care,1,40,6
REQ-2026-01525,2026-03-01,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,O+,4,medium,Chronic Disease Treatment,0,,0
REQ-2023-01526,2023-08-15,CHU Souss Massa,Souss-Massa,O+,8,critical,Burn Treatment,1,30,3
REQ-2025-01527,2025-02-11,Hôpital Régional Oujda,Oriental,B+,4,medium,Emergency Surgery,1,43,12
REQ-2026-01528,2026-01-29,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,A+,1,critical,Post-Operative Care,0,,0
REQ-2025-01529,2025-05-03,Hôpital Régional Oujda,Oriental,O+,3,high,Emergency Surgery,1,11,11
REQ-2025-01530,2025-08-30,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,A+,1,high,Burn Treatment,1,38,9
REQ-2024-01531,2024-08-29,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,O+,5,low,Scheduled Transfusion,1,50,9
REQ-2024-01532,2024-04-26,CHU Ibn Rochd,Casablanca-Settat,O+,4,high,Maternal Care,1,25,10
REQ-2023-01533,2023-05-26,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,AB+,3,medium,Burn Treatment,1,26,7
REQ-2023-01534,2023-03-11,CHU Ibn Sina,Rabat-Salé-Kénitra,A-,10,critical,Scheduled Transfusion,1,51,2
REQ-2025-01535,2025-10-06,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,A+,5,low,Pediatric Care,1,28,11
REQ-2024-01536,2024-05-22,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,O+,6,critical,Accident Emergency,1,34,1
REQ-2023-01537,2023-08-09,CHU Hassan II,Fès-Meknès,AB+,2,high,Chronic Disease Treatment,0,,0
REQ-2025-01538,2025-01-18,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,A+,3,critical,Post-Operative Care,1,43,1
REQ-2025-01539,2025-02-18,CHU Mohammed VI,Marrakech-Safi,B+,5,high,Emergency Surgery,1,14,5
REQ-2023-01540,2023-05-13,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,O+,3,low,Accident Emergency,1,29,3
REQ-2024-01541,2024-07-28,CHU Mohammed VI,Marrakech-Safi,A+,5,critical,Maternal Care,0,,0
REQ-2026-01542,2026-01-01,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,A+,1,medium,Accident Emergency,1,42,2
REQ-2026-01543,2026-02-01,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,O+,6,low,Burn Treatment,0,,0
REQ-2024-01544,2024-03-11,Hôpital Régional Oujda,Oriental,A+,2,low,Accident Emergency,1,6,6
REQ-2025-01545,2025-01-20,CHU Mohammed VI,Marrakech-Safi,AB+,1,medium,Organ Transplant,1,19,12
REQ-2025-01546,2025-10-16,CHU Hassan II,Fès-Meknès,B+,2,high,Accident Emergency,0,,0
REQ-2023-01547,2023-06-11,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,O+,4,high,Burn Treatment,1,22,4
REQ-2025-01548,2025-03-30,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,A+,1,critical,Accident Emergency,1,6,11
